Group,Solution Id,Language,Complaint Id,Sysmtom,Confirmation,Check Point,Procedure,Root Cause,Solution,Key,is_active
AB,679,English,73,Water leakage from vent holes (While running),Continuous or intermittent water leakage during running,Is the water coming out from airend side vent holes,Check physically for the water leakage from airend discharge vent holes,1)Seal air pressure is low 2)Seal air pressure ball valve kept in close position 3)Seal air pressure MOS filter element choked 4)Defect in the discharge check valve,1)Increase the seal air pressure by checking gauge in manifold (Units without Seal air pressure sensor) Increase the seal air pressure by checking the controller display (Units with Seal air pressure sensor) 2)Check and open the ball valve partially and set seal air pressure 3)Replace the seal air pressure MOS filter element or MOS assembly 4)Replace the DCV assembly and maintain the water level,Seal air pressure low,0
AB,680,English,74,Water leakage from vent hole after unit shutdown,Water leakage observed after shutdown,Check the Discharge check valve condition and its function,1)Switch off the machine in normal stop mode and observe water throw from airend vent holes 2)Dismantle discharge check valve from the system and visually check the condition of spring and plunger,Discharge check valve Spring broken or Improper seating of plunger,Replace the discharge check valve assembly,Discharge check valve (DCV),0
AB,681,English,74,Water leakage from vent hole after unit shutdown,Water leakage observed after shutdown,Check the Water stop valve condition and its function,Dismantle the Water stop valve from the system and check for dust accumulation and diaphragm seating,1)Malfunctioning of solenoid coil 2)Diaphragm condition eroded/punctured 3) Accumulation of dust at diaphragm seat,1 & 2) Replace the Water stop valve assembly 3) Clean the Water stop valve assembly,Water stop valve,0
AB,682,English,74,Water leakage from vent hole after unit shutdown,Water leakage observed after shutdown,Check the discharge line connection to service line,Check whether the compressor discharge line connected as per recommendation,1) Condesate water entered into the compressor during idle condition through MOS ADV 2) Compressor discharge is not connected as per recommendation,1) Ensure the compressor outlet pipe connected by ''inverted U'' with service line 2) Compressor to be isolated from the service line by closing the ball valve,,0
AB,683,English,74,Water leakage from vent hole after unit shutdown,Water leakage observed after shutdown,Check the blow down valve condition and its function while shut down for short time duration,Dismantle the blow down valve and check condition of BDV kit,Blow down valve piston stuck/internal parts damaged,Replace the blow down valve assembly,Blow down valve (BDV),0
AB,684,English,75,Water level high in tank,No water from constant drain valve (Units with CDV drain system) No water from sump ADV drain (Units with sump ADV),Check for the blockage in the constant drain system strainer/orifice,Remove the strainer/orifice and check for any dust contaminationor blockage,Foreign particle/Dust/Impurities entry in the water,1)Clean/Replace the strainer and orifice assembly 2)Flush the water system and replace new water completely,Strainer,0
AB,685,English,75,Water level high in tank,No water from constant drain valve (Units with CDV drain system) No water from sump ADV drain (Units with sump ADV),Check the sump Auto drain valve (ADV) condition/function,Remove and check the function of ADV or blockage,1) Solenoid valve failed internally 2) Foreign particle/Dust/Impurities entry in the water,Replace the sump ADV,Auto drain valve ADV Solenoid valve,0
AB,686,English,75,Water level high in tank,No water from constant drain valve (Units with CDV drain system) No water from sump ADV drain (Units with sump ADV),Check the water level sensor function,Remove and check the water level sensor float condition and its function,Water level sensor failure,Replace the water level sensor,Water level sensor,0
AB,687,English,76,High differential pressure water filter alarm,Differential pressure is higher than the set pressure,Check if the warning goes OFF when reset button is pressed during running,Check the controller display,1) Controller set value disturbed 2) DP Pressure switch malfunction,1) Press the reset button in controller and monitor 2) Check and correct the set value in the switch and set differential pressure of 1.5 bar/ 20Psi 3) Change the pressure switch and set the value as per recommendation,Pressure switch,0
AB,688,English,76,High differential pressure water filter alarm,Differential pressure is higher than the set pressure,Is the differential pressure setting value disturbed,Check the Water filter differential pressure set value in DP switch,1) Controller set value disturbed 2) DP Pressure switch malfunction,1)Press the reset button in controller and monitor 2) Check and correct the set value in the switch and set differential pressure of 1.5 bar/ 20Psi 3) Change the pressure switch and set the value as per recommendation,Water filter differential pressure switch,0
